STATION_NA,longitude,latitude,cluster_25
ADMIRALTY MRT STATION,103.80085749444675,1.44040693294001,7
ALJUNIED MRT STATION,103.8824847691195,1.316363207824395,10
ANG MO KIO MRT STATION,103.84967573689525,1.3696182336423726,6
BAKAU LRT STATION,103.90546387737851,1.388013092354575,22
BANGKIT LRT STATION,103.772590574209,1.37985334676455,16
BARTLEY MRT STATION,103.879582293595,1.3428749053727098,19
BAYFRONT MRT STATION,103.8592045654834,1.282089309786342,20
BEAUTY WORLD MRT STATION,103.77573217376433,1.3410867460890732,18
BEDOK MRT STATION,103.92941150425968,1.3239705415943166,23
BEDOK NORTH MRT STATION,103.91851436903175,1.3345218518539075,8
BEDOK RESERVOIR MRT STATION,103.9331870061805,1.3364513321142049,23
BENCOOLEN MRT STATION,103.84989185539366,1.2983645713800966,3
BENDEMEER MRT STATION,103.863146618684,1.3136666153239251,17
BISHAN MRT STATION,103.8486921069672,1.3508634014459961,6
BOON KENG MRT STATION,103.861370955292,1.3190856294870332,17
BOON LAY MRT STATION,103.70571801969118,1.3384759405295732,15
BOTANIC GARDENS MRT STATION,103.815445525763,1.322609622642875,12
BRADDELL MRT STATION,103.846758956181,1.3408284916757165,17
BRAS BASAH MRT STATION,103.8505264190178,1.297001300942576,3
BRIGHT HILL MRT STATION,103.8328688965175,1.3631669264740252,6
BUANGKOK MRT STATION,103.893173494484,1.383029756905055,1
BUGIS MRT STATION,103.85620926697875,1.300268019479235,3
BUKIT BATOK MRT STATION,103.74969897623924,1.349219024939555,18
BUKIT GOMBAK MRT STATION,103.7519617476115,1.35903198502042,18
BUKIT PANJANG LRT STATION,103.76305411282625,1.3779589156795375,16
BUKIT PANJANG MRT STATION,103.7612314109025,1.3792845546744776,16
BUONA VISTA MRT STATION,103.790658812565,1.3069294345160025,0
CALDECOTT MRT STATION,103.8400353513785,1.33748698623184,17
CANBERRA MRT STATION,103.8297121775054,1.443227401411476,14
CASHEW MRT STATION,103.764234480711,1.36983331859629,16
CHANGI AIRPORT MRT STATION,103.98829061110601,1.3567808385324849,13
CHENG LIM LRT STATION,103.893802602925,1.396280094679355,1
CHINATOWN MRT STATION,103.84407269085716,1.2846415113506167,20
CHINESE GARDEN MRT STATION,103.73278503871234,1.34199555304583,9
CHOA CHU KANG LRT STATION,103.74460757173651,1.384989831957315,2
CHOA CHU KANG MRT STATION,103.74441550271285,1.3854246936999972,2
CITY HALL MRT STATION,103.8524408132035,1.29320592569534,3
CLARKE QUAY MRT STATION,103.84656501759349,1.2886155666760268,20
CLEMENTI MRT STATION,103.76537190030675,1.3147708499395074,0
COMMONWEALTH MRT STATION,103.7983787514185,1.30237267589,0
COMPASSVALE LRT STATION,103.9006615335765,1.394430846904965,22
CORAL EDGE LRT STATION,103.9126804891685,1.3938277296662251,22
COVE LRT STATION,103.906052374688,1.3992135250589102,22
DAKOTA MRT STATION,103.888643276513,1.3084554689648549,10
DAMAI LRT STATION,103.90870304151,1.40516532087124,24
DHOBY GHAUT MRT STATION,103.84550168866967,1.299410708852785,3
DOVER MRT STATION,103.778384743296,1.3115543125642048,0
DOWNTOWN MRT STATION,103.85277105540217,1.2795532221770152,20
ESPLANADE MRT STATION,103.85568040869371,1.29319436252982,3
EUNOS MRT STATION,103.90289713414602,1.3195365796568066,8
EXPO MRT STATION,103.96239435938975,1.3351797416167688,13
FAJAR LRT STATION,103.770675518445,1.38446507117965,16
FARMWAY LRT STATION,103.88926123236499,1.3971669110404599,1
FARRER PARK MRT STATION,103.85433720319523,1.3121610183985257,17
FARRER ROAD MRT STATION,103.80767723263301,1.31752287103387,12
FERNVALE LRT STATION,103.876261653892,1.3921582676261,1
FORT CANNING MRT STATION,103.844297532881,1.292618185761985,3
GARDENS BY THE BAY MRT STATION,103.86790320784299,1.2791668064192434,20
GEYLANG BAHRU MRT STATION,103.871674939498,1.3213354072677852,10
GREAT WORLD MRT STATION,103.83309156886833,1.2942962040916568,21
GUL CIRCLE MRT STATION,103.659939544688,1.31893472485098,5
HARBOURFRONT MRT STATION,103.82149962821534,1.2654106664124483,11
HAVELOCK MRT STATION,103.8337339579354,1.288438446721142,21
HAW PAR VILLA MRT STATION,103.782006397072,1.28305527354176,11
HILLVIEW MRT STATION,103.7673983750195,1.3622792889314002,18
HOLLAND VILLAGE MRT STATION,103.79588732699533,1.3110003169231768,0
HOUGANG MRT STATION,103.892464384422,1.3714321765488464,1
JALAN BESAR MRT STATION,103.8552703450145,1.30517858701128,3
JELAPANG LRT STATION,103.764676792845,1.38683269953093,16
JOO KOON MRT STATION,103.678582393044,1.327729097948255,15
JURONG EAST MRT STATION,103.742365084063,1.3332114638253474,9
KADALOOR LRT STATION,103.916452294405,1.399610365165285,22
KAKI BUKIT MRT STATION,103.9092756874445,1.33511654835614,8
KALLANG MRT STATION,103.8716588200145,1.311661126759665,10
KANGKAR LRT STATION,103.902211963085,1.3839198530203651,22
KEAT HONG LRT STATION,103.749226841606,1.37846496701683,2
KEMBANGAN MRT STATION,103.91292018407651,1.321037934168735,8
KENT RIDGE MRT STATION,103.784575158892,1.293486897731555,0
KHATIB MRT STATION,103.8329367546215,1.417403843581535,14
KING ALBERT PARK MRT STATION,103.783795922498,1.3357565615926599,0
KOVAN MRT STATION,103.884826579586,1.3599804073029933,19
KRANJI MRT STATION,103.76205264444425,1.4249606810976625,7
KUPANG LRT STATION,103.881138553003,1.3982214946162501,1
LABRADOR PARK MRT STATION,103.802355553663,1.27210695805434,11
LAKESIDE MRT STATION,103.72107892304633,1.3441229895834468,9
LAVENDER MRT STATION,103.862846689763,1.3073939998022048,3
LAYAR LRT STATION,103.880151264831,1.3920853547732,1
LENTOR MRT STATION,103.8365519403028,1.3847385802272618,6
LITTLE INDIA MRT STATION,103.849279413906,1.3067475131053183,3
LORONG CHUAN MRT STATION,103.8639259867105,1.351588820743955,19
MACPHERSON MRT STATION,103.8895583246748,1.325870711025186,10
MARINA BAY MRT STATION,103.85513069011661,1.2754511607510621,20
MARINA SOUTH MRT STATION,103.8622109755855,1.2740203434260176,20
MARINA SOUTH PIER MRT STATION,103.862954860367,1.2709839133404248,20
MARSILING MRT STATION,103.77410964960501,1.4326934873645025,7
MARYMOUNT MRT STATION,103.839573437439,1.3484232292972251,6
MATTAR MRT STATION,103.883240227279,1.326857468129435,10
MAXWELL MRT STATION,103.84399205942667,1.2807150714114799,20
MAYFLOWER MRT STATION,103.83676563946042,1.3720404197659628,6
MERIDIAN LRT STATION,103.9089176646705,1.396901369969045,22
MOUNTBATTEN MRT STATION,103.882922914219,1.30639931794461,10
NAPIER MRT STATION,103.8194951994805,1.30664048364537,21
NEWTON MRT STATION,103.83811425879567,1.31276350931972,17
NIBONG LRT STATION,103.90030268113,1.4118415485297,24
NICOLL HIGHWAY MRT STATION,103.8638288514725,1.299915224696305,3
NOVENA MRT STATION,103.8438645336735,1.32049537716857,17
OASIS LRT STATION,103.912700353428,1.402305425411185,22
ONE-NORTH MRT STATION,103.78754638481175,1.299794098173205,0
ORCHARD BOULEVARD MRT STATION,103.823766755278,1.30304363883745,21
ORCHARD MRT STATION,103.83185961720109,1.3037892216957394,21
OUTRAM PARK MRT STATION,103.83907654709712,1.2807282808591962,20
PASIR PANJANG MRT STATION,103.79203018692,1.27600323278505,11
PASIR RIS MRT STATION,103.949235183497,1.37286410271627,4
PAYA LEBAR MRT STATION,103.89220107839375,1.31782511598738,10
PENDING LRT STATION,103.771327842297,1.37629711719364,16
PETIR LRT STATION,103.766793014963,1.37760322809516,16
PHOENIX LRT STATION,103.758252475106,1.37861406821397,16
PIONEER MRT STATION,103.6971424131435,1.33758812746296,15
POTONG PASIR MRT STATION,103.869001192418,1.3316720679855634,19
PROMENADE MRT STATION,103.860348993272,1.2932255017455432,3
PUNGGOL LRT STATION,103.90195708177299,1.40436948095392,24
PUNGGOL MRT STATION,103.902452096822,1.40526290899525,24
PUNGGOL POINT LRT STATION,103.9067555486285,1.41678941792763,24
QUEENSTOWN MRT STATION,103.80589279616875,1.2948515894133075,11
RAFFLES PLACE MRT STATION,103.8514146762947,1.283703781025636,20
RANGGUNG LRT STATION,103.897272830936,1.38414063473751,1
REDHILL MRT STATION,103.8171219158165,1.2894282900172498,21
RENJONG LRT STATION,103.890423676928,1.386756050052035,1
RIVIERA LRT STATION,103.916099284524,1.394442338544045,22
ROCHOR MRT STATION,103.852739678641,1.30380944178463,3
RUMBIA LRT STATION,103.90606230550901,1.3913773641022749,22
SAM KEE LRT STATION,103.9049154254705,1.4097650862417401,24
SAMUDERA LRT STATION,103.902136534869,1.41588560878728,24
SEGAR LRT STATION,103.769409914802,1.38781155599523,16
SEMBAWANG MRT STATION,103.82001511665649,1.4489224371143126,14
SENGKANG MRT STATION,103.89548936790351,1.3917192967765775,1
SENJA LRT STATION,103.762325766572,1.3828754471752,16
SERANGOON MRT STATION,103.87329741577362,1.3502623171668324,19
SHENTON WAY MRT STATION,103.85093581007634,1.277470581145045,20
SIMEI MRT STATION,103.953818676297,1.34266179453371,13
SIXTH AVENUE MRT STATION,103.79670713017501,1.33115088569095,12
SOMERSET MRT STATION,103.83883951102649,1.3003680916322327,21
SOO TECK LRT STATION,103.897219246969,1.4051299121831051,24
SOUTH VIEW LRT STATION,103.74510113108,1.38031765699103,2
SPRINGLEAF MRT STATION,103.818158548631,1.3980974104338066,14
STADIUM MRT STATION,103.875313111132,1.302940656871825,10
STEVENS MRT STATION,103.825787797841,1.320141727991968,12
SUMANG LRT STATION,103.898546402017,1.40842816642942,24
TAI SENG MRT STATION,103.887920752517,1.3352674810786,19
TAMPINES EAST MRT STATION,103.95528315107575,1.3561430882801475,4
TAMPINES MRT STATION,103.94378200066214,1.3543165275390314,4
TAMPINES WEST MRT STATION,103.938572621894,1.3453148925641951,23
TAN KAH KEE MRT STATION,103.80779999639,1.3257396139528348,12
TANAH MERAH MRT STATION,103.94575888475549,1.32695951210127,23
TANJONG PAGAR MRT STATION,103.84643317490277,1.2765062559019933,20
TECK LEE LRT STATION,103.90664615972,1.412902368913235,24
TECK WHYE LRT STATION,103.753826102342,1.37656419493699,2
TELOK AYER MRT STATION,103.848707176039,1.28221177617946,20
TELOK BLANGAH MRT STATION,103.80988373092,1.2707212262114,11
THANGGAM LRT STATION,103.87562660066999,1.39719524713131,1
TIONG BAHRU MRT STATION,103.8272435042695,1.2860606986446248,21
TOA PAYOH MRT STATION,103.84728463789449,1.3327412066251976,17
TONGKANG LRT STATION,103.886023235751,1.389279584473315,1
TUAS CRESCENT MRT STATION,103.649122765188,1.3210037067554499,5
TUAS LINK MRT STATION,103.637043193748,1.34068348573686,5
TUAS WEST ROAD MRT STATION,103.639537528002,1.3300273771856652,5
UBI MRT STATION,103.8992311308865,1.32989079948225,8
UPPER CHANGI MRT STATION,103.9612851465888,1.341547712027874,13
UPPER THOMSON MRT STATION,103.8328205684132,1.3545271235856,6
WOODLANDS MRT STATION,103.78762680085629,1.4361869096379913,7
WOODLANDS NORTH MRT STATION,103.78526567605,1.44849190110188,7
WOODLANDS SOUTH MRT STATION,103.79395813934859,1.426972273826002,7
WOODLEIGH MRT STATION,103.87083429229034,1.3389870079378265,19
YEW TEE MRT STATION,103.747267092689,1.397499132778915,2
YIO CHU KANG MRT STATION,103.844808934489,1.38171518309093,6
YISHUN MRT STATION,103.8350494239016,1.42938447562945,14
