school_name,address,postal_code,type_code,nature_code,session_code,mainlevel_code,sap_ind,autonomous_ind,gifted_ind,ip_ind,latitude,longitude,cluster
GEYLANG METHODIST SCHOOL (SECONDARY),2 GEYLANG EAST CENTRAL,389705,GOVERNMENT-AIDED SCH,CO-ED SCHOOL,SINGLE SESSION,SECONDARY,False,False,False,False,1.31764900474601,103.882661129303,2
GONGSHANG PRIMARY SCHOOL,1 TAMPINES STREET 42,529176,GOVERNMENT SCHOOL,CO-ED SCHOOL,SINGLE SESSION,PRIMARY,False,False,False,False,1.35711606790292,103.949144797277,6
GREENDALE PRIMARY SCHOOL,50 Edgedale Plains,828848,GOVERNMENT SCHOOL,CO-ED SCHOOL,SINGLE SESSION,PRIMARY,False,False,False,False,1.39648195114256,103.91233462071,1
GREENDALE SECONDARY SCHOOL,51 EDGEDALE PLAINS,828866,GOVERNMENT SCHOOL,CO-ED SCHOOL,SINGLE SESSION,SECONDARY,False,False,False,False,1.39696019936894,103.91170014084,3
GREENRIDGE PRIMARY SCHOOL,11 JELAPANG ROAD,677744,GOVERNMENT SCHOOL,CO-ED SCHOOL,SINGLE SESSION,PRIMARY,False,False,False,False,1.3858892193692,103.767794469258,5
GREENRIDGE SECONDARY SCHOOL,32 BUKIT PANJANG RING ROAD,679938,GOVERNMENT SCHOOL,CO-ED SCHOOL,SINGLE SESSION,SECONDARY,False,False,False,False,1.38186433722811,103.773828466913,5
GREENWOOD PRIMARY SCHOOL,11 WOODLANDS DR 62,737942,GOVERNMENT SCHOOL,CO-ED SCHOOL,SINGLE SESSION,PRIMARY,False,False,False,False,1.43989958331782,103.804725587384,7
GUANGYANG SECONDARY SCHOOL,8 BISHAN STREET 12,579807,GOVERNMENT SCHOOL,CO-ED SCHOOL,SINGLE SESSION,SECONDARY,False,False,False,False,1.34440856042912,103.850208933626,3
HAI SING CATHOLIC SCHOOL,9 PASIR RIS DRIVE 6,519421,GOVERNMENT-AIDED SCH,CO-ED SCHOOL,SINGLE SESSION,SECONDARY,False,False,False,False,1.3743371707478,103.954544548905,6
HAIG GIRLS' SCHOOL,51 Koon Seng Road,427072,GOVERNMENT SCHOOL,GIRLS' SCHOOL,SINGLE SESSION,PRIMARY,False,False,False,False,1.31194344271383,103.902902557195,2
HENRY PARK PRIMARY SCHOOL,1 HOLLAND GROVE ROAD,278790,GOVERNMENT SCHOOL,CO-ED SCHOOL,SINGLE SESSION,PRIMARY,False,False,True,False,1.31667646178347,103.784296227747,4
HILLGROVE SECONDARY SCHOOL,10 BUKIT BATOK STREET 52,659250,GOVERNMENT SCHOOL,CO-ED SCHOOL,SINGLE SESSION,SECONDARY,False,False,False,False,1.35273576615912,103.752986488399,0
HOLY INNOCENTS' HIGH SCHOOL,1191 UPPER SERANGOON ROAD,534786,GOVERNMENT-AIDED SCH,CO-ED SCHOOL,SINGLE SESSION,SECONDARY,False,False,False,False,1.37154508822261,103.896398814264,3
HOLY INNOCENTS' PRIMARY SCHOOL,5 Lorong Low Koon,536451,GOVERNMENT-AIDED SCH,CO-ED SCHOOL,SINGLE SESSION,PRIMARY,True,False,False,False,1.36693830877349,103.894114899795,2
HONG WEN SCHOOL,30 TOWNER ROAD,327829,GOVERNMENT-AIDED SCH,CO-ED SCHOOL,SINGLE SESSION,PRIMARY,True,False,False,False,1.32175999964553,103.857628468881,2
HORIZON PRIMARY SCHOOL,61 Edgedale Plains,828819,GOVERNMENT SCHOOL,CO-ED SCHOOL,SINGLE SESSION,PRIMARY,False,False,False,False,1.399550034492,103.913404855665,1
HOUGANG PRIMARY SCHOOL,1 HOUGANG ST 93,534238,GOVERNMENT SCHOOL,CO-ED SCHOOL,SINGLE SESSION,PRIMARY,False,False,False,False,1.37738245231461,103.880805274557,1
HOUGANG SECONDARY SCHOOL,2 HOUGANG STREET 93,534256,GOVERNMENT SCHOOL,CO-ED SCHOOL,SINGLE SESSION,SECONDARY,False,False,False,False,1.37764019332164,103.882533963338,3
HUA YI SECONDARY SCHOOL,60 JURONG WEST ST 42,649371,GOVERNMENT SCHOOL,CO-ED SCHOOL,SINGLE SESSION,SECONDARY,False,False,False,False,1.35234365488339,103.721832320169,0
HUAMIN PRIMARY SCHOOL,21 YISHUN AVENUE 11,768857,GOVERNMENT SCHOOL,CO-ED SCHOOL,SINGLE SESSION,PRIMARY,False,False,False,False,1.42697284512936,103.844240226564,7
HWA CHONG INSTITUTION,661 BUKIT TIMAH ROAD,269734,INDEPENDENT SCHOOL,CO-ED SCHOOL,SINGLE SESSION,MIXED LEVELS,True,False,False,True,1.3263580622144,103.803290365022,4
INNOVA PRIMARY SCHOOL,80 Woodlands Drive 17,737888,GOVERNMENT SCHOOL,CO-ED SCHOOL,SINGLE SESSION,PRIMARY,False,False,False,False,1.42896700684852,103.790607539185,7
JIEMIN PRIMARY SCHOOL,2 YISHUN STREET 71,768515,GOVERNMENT SCHOOL,CO-ED SCHOOL,SINGLE SESSION,PRIMARY,False,False,False,False,1.42768847665227,103.830425490093,7
JING SHAN PRIMARY SCHOOL,5 ANG MO KIO ST 52,569228,GOVERNMENT SCHOOL,CO-ED SCHOOL,SINGLE SESSION,PRIMARY,False,False,False,False,1.37196445720109,103.851763531681,1
JUNYUAN PRIMARY SCHOOL,2 Tampines Street 91,528906,GOVERNMENT SCHOOL,CO-ED SCHOOL,SINGLE SESSION,PRIMARY,False,False,False,False,1.34787074766746,103.939221709073,6
JUNYUAN SECONDARY SCHOOL,11 TAMPINES STREET 84,528933,GOVERNMENT SCHOOL,CO-ED SCHOOL,SINGLE SESSION,SECONDARY,False,False,False,False,1.35361315263537,103.933886165824,6
JURONG PIONEER JUNIOR COLLEGE,21 Teck Whye Walk,688258,GOVERNMENT SCHOOL,CO-ED SCHOOL,FULL DAY,JUNIOR COLLEGE,False,False,False,False,1.38437406410733,103.75437461519,5
JURONG PRIMARY SCHOOL,320 JURONG EAST Street 32,609476,GOVERNMENT SCHOOL,CO-ED SCHOOL,SINGLE SESSION,PRIMARY,False,False,False,False,1.34843859698946,103.733156566858,0
JURONG SECONDARY SCHOOL,31 YUAN CHING ROAD,618652,GOVERNMENT SCHOOL,CO-ED SCHOOL,SINGLE SESSION,SECONDARY,False,False,False,False,1.33002032220942,103.723952961648,0
JURONG WEST PRIMARY SCHOOL,30 JURONG WEST ST 61,648368,GOVERNMENT SCHOOL,CO-ED SCHOOL,SINGLE SESSION,PRIMARY,False,False,False,False,1.33917519796104,103.698803732244,0
JURONG WEST SECONDARY SCHOOL,61 JURONG WEST STREET 65,648348,GOVERNMENT SCHOOL,CO-ED SCHOOL,SINGLE SESSION,SECONDARY,False,False,False,False,1.33525634688323,103.702098904443,0
JURONGVILLE SECONDARY SCHOOL,202 JURONG EAST AVENUE 1,609790,GOVERNMENT SCHOOL,CO-ED SCHOOL,SINGLE SESSION,SECONDARY,False,False,False,False,1.35128862770284,103.728907710089,0
JUYING SECONDARY SCHOOL,33 JURONG WEST STREET 91,649038,GOVERNMENT SCHOOL,CO-ED SCHOOL,SINGLE SESSION,SECONDARY,False,False,False,False,1.3387227734133,103.687310264575,0
KEMING PRIMARY SCHOOL,90 BUKIT BATOK EAST AVENUE 6,659762,GOVERNMENT SCHOOL,CO-ED SCHOOL,SINGLE SESSION,PRIMARY,False,False,False,False,1.34552849960874,103.756449399351,0
KENT RIDGE SECONDARY SCHOOL,147 WEST COAST ROAD,127368,GOVERNMENT SCHOOL,CO-ED SCHOOL,SINGLE SESSION,SECONDARY,False,False,False,False,1.30122773426098,103.764889617566,4
KHENG CHENG SCHOOL,15 LORONG 3 TOA PAYOH,319580,GOVERNMENT-AIDED SCH,CO-ED SCHOOL,SINGLE SESSION,PRIMARY,False,False,False,False,1.3373381935639,103.847148501824,2
KONG HWA SCHOOL,350 GUILLEMARD ROAD,399772,GOVERNMENT-AIDED SCH,CO-ED SCHOOL,SINGLE SESSION,PRIMARY,True,False,False,False,1.31099674009193,103.888352029067,2
KRANJI PRIMARY SCHOOL,11 CHOA CHU KANG STREET 54,689189,GOVERNMENT SCHOOL,CO-ED SCHOOL,SINGLE SESSION,PRIMARY,False,False,False,False,1.39356050497104,103.747362720939,5
KRANJI SECONDARY SCHOOL,61 CHOA CHU KANG STREET 51,689333,GOVERNMENT SCHOOL,CO-ED SCHOOL,SINGLE SESSION,SECONDARY,False,False,False,False,1.39005109871311,103.741190664845,5
KUO CHUAN PRESBYTERIAN PRIMARY SCHOOL,8 BISHAN STREET 13,579793,GOVERNMENT-AIDED SCH,CO-ED SCHOOL,SINGLE SESSION,PRIMARY,False,False,False,False,1.34939813669536,103.855018233311,2
KUO CHUAN PRESBYTERIAN SECONDARY SCHOOL,10 BISHAN STREET 13,579795,GOVERNMENT-AIDED SCH,CO-ED SCHOOL,SINGLE SESSION,SECONDARY,False,False,False,False,1.35017129930314,103.854983746416,3
LAKESIDE PRIMARY SCHOOL,161 Corporation Walk,618310,GOVERNMENT SCHOOL,CO-ED SCHOOL,SINGLE SESSION,PRIMARY,False,False,False,False,1.33820397704287,103.718089546664,0
LIANHUA PRIMARY SCHOOL,2 BUKIT BATOK STREET 52,659243,GOVERNMENT SCHOOL,CO-ED SCHOOL,SINGLE SESSION,PRIMARY,False,False,False,False,1.35424191127295,103.754165828711,0
LOYANG VIEW SECONDARY SCHOOL,12 PASIR RIS STREET 11,519073,GOVERNMENT SCHOOL,CO-ED SCHOOL,SINGLE SESSION,SECONDARY,False,False,False,False,1.36658417167238,103.956944585725,6
MAHA BODHI SCHOOL,10 UBI AVENUE 1,408931,GOVERNMENT-AIDED SCH,CO-ED SCHOOL,SINGLE SESSION,PRIMARY,True,False,False,False,1.32858023873554,103.901306904157,2
MANJUSRI SECONDARY SCHOOL,20 UBI AVENUE 1,408940,GOVERNMENT-AIDED SCH,CO-ED SCHOOL,SINGLE SESSION,SECONDARY,False,False,False,False,1.32747123084846,103.901719963831,2
MARIS STELLA HIGH SCHOOL,25 MOUNT VERNON ROAD,368051,GOVERNMENT-AIDED SCH,BOYS' SCHOOL,SINGLE SESSION,MIXED LEVELS,True,True,False,False,1.34139822375509,103.87776938227,2
MARSILING PRIMARY SCHOOL,31 WOODLANDS CENTRE ROAD,738927,GOVERNMENT SCHOOL,CO-ED SCHOOL,SINGLE SESSION,PRIMARY,False,False,False,False,1.43383904037059,103.773643013846,7
MARSILING SECONDARY SCHOOL,12 MARSILING ROAD,739110,GOVERNMENT SCHOOL,CO-ED SCHOOL,SINGLE SESSION,SECONDARY,False,False,False,False,1.43664424769955,103.776008090454,7
MARYMOUNT CONVENT SCHOOL,20 Marymount Road,297754,GOVERNMENT-AIDED SCH,GIRLS' SCHOOL,SINGLE SESSION,PRIMARY,False,False,False,False,1.34043840661368,103.839811736775,2
MAYFLOWER PRIMARY SCHOOL,200 Ang Mo Kio Avenue 5,569878,GOVERNMENT SCHOOL,CO-ED SCHOOL,SINGLE SESSION,PRIMARY,False,False,False,False,1.37637683547682,103.843252803742,1
MAYFLOWER SECONDARY SCHOOL,2 ANG MO KIO STREET 21,569384,GOVERNMENT SCHOOL,CO-ED SCHOOL,SINGLE SESSION,SECONDARY,False,False,False,False,1.36827266209722,103.835360726863,3
MEE TOH SCHOOL,21 EDGEDALE PLAINS,828867,GOVERNMENT-AIDED SCH,CO-ED SCHOOL,SINGLE SESSION,PRIMARY,False,False,False,False,1.39485356081865,103.90857257736,1
MERIDIAN PRIMARY SCHOOL,20 PASIR RIS ST 71,518798,GOVERNMENT SCHOOL,CO-ED SCHOOL,SINGLE SESSION,PRIMARY,False,False,False,False,1.37550677054835,103.934953276155,1
MERIDIAN SECONDARY SCHOOL,31 PASIR RIS STREET 51,518901,GOVERNMENT SCHOOL,CO-ED SCHOOL,SINGLE SESSION,SECONDARY,False,False,False,False,1.3672468492013,103.948972483629,6
METHODIST GIRLS' SCHOOL (PRIMARY),11 Blackmore Drive,599986,GOVERNMENT-AIDED SCH,GIRLS' SCHOOL,SINGLE SESSION,PRIMARY,False,False,False,False,1.33266213599636,103.783382114018,4
METHODIST GIRLS' SCHOOL (SECONDARY),11 BLACKMORE DRIVE,599986,INDEPENDENT SCHOOL,GIRLS' SCHOOL,SINGLE SESSION,SECONDARY,False,False,False,True,1.33266213599636,103.783382114018,4
MILLENNIA INSTITUTE,60 Bukit Batok West Avenue 8,658965,GOVERNMENT SCHOOL,CO-ED SCHOOL,FULL DAY,CENTRALISED INSTITUTE,False,False,False,False,1.35031939200985,103.741593577684,0
MONTFORT JUNIOR SCHOOL,52 HOUGANG AVENUE 8,538786,GOVERNMENT-AIDED SCH,BOYS' SCHOOL,SINGLE SESSION,PRIMARY,False,False,False,False,1.37362445234082,103.889741457901,2
MONTFORT SECONDARY SCHOOL,50 HOUGANG AVENUE 8,538785,GOVERNMENT-AIDED SCH,BOYS' SCHOOL,SINGLE SESSION,SECONDARY,False,False,False,False,1.37396131656912,103.888928372577,3
NAN CHIAU HIGH SCHOOL,20 ANCHORVALE LINK,545079,GOVERNMENT-AIDED SCH,CO-ED SCHOOL,SINGLE SESSION,SECONDARY,True,False,False,False,1.38879582498399,103.890004423764,3
NAN CHIAU PRIMARY SCHOOL,50 ANCHORVALE LINK,545080,GOVERNMENT-AIDED SCH,CO-ED SCHOOL,SINGLE SESSION,PRIMARY,False,False,False,False,1.39221149906592,103.891180928186,1
NAN HUA HIGH SCHOOL,41 CLEMENTI AVENUE 1,129956,GOVERNMENT SCHOOL,CO-ED SCHOOL,SINGLE SESSION,SECONDARY,True,True,False,False,1.30809529518605,103.768561446725,4
NAN HUA PRIMARY SCHOOL,30 Jalan Lempeng,128806,GOVERNMENT-AIDED SCH,CO-ED SCHOOL,DOUBLE SESSION,PRIMARY,True,False,True,False,1.31920159956387,103.761095065761,4
NANYANG GIRLS' HIGH SCHOOL,2 LINDEN DRIVE,288683,INDEPENDENT SCHOOL,GIRLS' SCHOOL,SINGLE SESSION,SECONDARY,True,False,True,True,1.33058326666479,103.802420979943,4
NANYANG JUNIOR COLLEGE,128 SERANGOON AVENUE 3,556111,GOVERNMENT-AIDED SCH,CO-ED SCHOOL,FULL DAY,JUNIOR COLLEGE,False,False,False,False,1.35028314949236,103.866498721912,2
NANYANG PRIMARY SCHOOL,52 KING'S ROAD,268097,GOVERNMENT-AIDED SCH,CO-ED SCHOOL,SINGLE SESSION,PRIMARY,True,False,True,False,1.32107094241153,103.807681852799,4
NATIONAL JUNIOR COLLEGE,37 HILLCREST ROAD,288913,GOVERNMENT SCHOOL,CO-ED SCHOOL,FULL DAY,MIXED LEVELS,False,False,False,True,1.33029291072172,103.804110905425,4
NAVAL BASE PRIMARY SCHOOL,7 YISHUN AVE 4,769028,GOVERNMENT SCHOOL,CO-ED SCHOOL,SINGLE SESSION,PRIMARY,False,False,False,False,1.41590195697649,103.839100590207,7
NAVAL BASE SECONDARY SCHOOL,901 YISHUN RING ROAD,768689,GOVERNMENT SCHOOL,CO-ED SCHOOL,SINGLE SESSION,SECONDARY,False,False,False,False,1.41937881620441,103.831050390247,7
NEW TOWN PRIMARY SCHOOL,300 Tanglin Halt Road,148812,GOVERNMENT SCHOOL,CO-ED SCHOOL,SINGLE SESSION,PRIMARY,False,False,False,False,1.29981138884057,103.799964819895,4
NEW TOWN SECONDARY SCHOOL,1020 DOVER ROAD,139657,GOVERNMENT SCHOOL,CO-ED SCHOOL,SINGLE SESSION,SECONDARY,False,False,False,False,1.30977590011357,103.77318863421,4
NGEE ANN PRIMARY SCHOOL,344 MARINE TERRACE,449149,GOVERNMENT-AIDED SCH,CO-ED SCHOOL,SINGLE SESSION,PRIMARY,False,False,False,False,1.30553224180437,103.917570005713,2
NGEE ANN SECONDARY SCHOOL,1 TAMPINES STREET 32,529283,GOVERNMENT-AIDED SCH,CO-ED SCHOOL,SINGLE SESSION,SECONDARY,False,True,False,False,1.35447525755806,103.956747262496,6
NORTH SPRING PRIMARY SCHOOL,1 RIVERVALE STREET,545088,GOVERNMENT SCHOOL,CO-ED SCHOOL,SINGLE SESSION,PRIMARY,False,False,False,False,1.38706146494859,103.903202683028,1
NORTH VIEW PRIMARY SCHOOL,210 YISHUN AVENUE 6,768960,GOVERNMENT SCHOOL,CO-ED SCHOOL,SINGLE SESSION,PRIMARY,False,False,False,False,1.42745159462566,103.848378442893,7
NORTH VISTA PRIMARY SCHOOL,20 Compassvale Link,544974,GOVERNMENT SCHOOL,CO-ED SCHOOL,SINGLE SESSION,PRIMARY,False,False,False,False,1.38255066171151,103.89626457548,1
NORTH VISTA SECONDARY SCHOOL,11 RIVERVALE LINK,545081,GOVERNMENT SCHOOL,CO-ED SCHOOL,SINGLE SESSION,SECONDARY,False,False,False,False,1.381131285358,103.899188813886,3
NORTHBROOKS SECONDARY SCHOOL,585 YISHUN RING ROAD,768692,GOVERNMENT SCHOOL,CO-ED SCHOOL,SINGLE SESSION,SECONDARY,False,False,False,False,1.42081285020652,103.845147332528,7
NORTHLAND PRIMARY SCHOOL,15 YISHUN AVENUE 4,769026,GOVERNMENT SCHOOL,CO-ED SCHOOL,SINGLE SESSION,PRIMARY,False,False,False,False,1.42130404159807,103.840792923345,7
NORTHLAND SECONDARY SCHOOL,3 YISHUN STREET 22,768578,GOVERNMENT SCHOOL,CO-ED SCHOOL,SINGLE SESSION,SECONDARY,False,False,False,False,1.43580183362637,103.840104687784,7
NORTHLIGHT SCHOOL,151 Towner Road,327830,SPECIALISED SCHOOL,CO-ED SCHOOL,FULL DAY,SECONDARY,False,False,False,False,1.3191002158167,103.85575955353,4
NORTHOAKS PRIMARY SCHOOL,61 Sembawang Drive,757622,GOVERNMENT SCHOOL,CO-ED SCHOOL,SINGLE SESSION,PRIMARY,False,False,False,False,1.45732867302094,103.814075611175,7
NORTHSHORE PRIMARY SCHOOL,30 Northshore Drive,828671,GOVERNMENT SCHOOL,CO-ED SCHOOL,SINGLE SESSION,PRIMARY,False,False,False,False,1.41842322079348,103.905147201163,1
NUS HIGH SCHOOL OF MATHEMATICS AND SCIENCE,20 Clementi Avenue 1,129957,SPECIALISED INDEPENDENT SCHOOL,CO-ED SCHOOL,FULL DAY,MIXED LEVELS,False,False,False,True,1.30656448055686,103.769365156929,4
OASIS PRIMARY SCHOOL,71 Edgefield Plains,828716,GOVERNMENT SCHOOL,CO-ED SCHOOL,SINGLE SESSION,PRIMARY,False,False,False,False,1.40507184758584,103.911200193835,1
OPERA ESTATE PRIMARY SCHOOL,48 FIDELIO STREET,458436,GOVERNMENT SCHOOL,CO-ED SCHOOL,SINGLE SESSION,PRIMARY,False,False,False,False,1.31996876377748,103.923752668632,6
ORCHID PARK SECONDARY SCHOOL,10 YISHUN STREET 81,768454,GOVERNMENT SCHOOL,CO-ED SCHOOL,SINGLE SESSION,SECONDARY,False,False,False,False,1.41532032779634,103.837859241343,7
OUTRAM SECONDARY SCHOOL,3 YORK HILL,168622,GOVERNMENT SCHOOL,CO-ED SCHOOL,SINGLE SESSION,SECONDARY,False,False,False,False,1.28651357464735,103.837127264403,4
PALM VIEW PRIMARY SCHOOL,150 Compassvale Bow,544822,GOVERNMENT SCHOOL,CO-ED SCHOOL,SINGLE SESSION,PRIMARY,False,False,False,False,1.38376923022123,103.891354675017,1
PARK VIEW PRIMARY SCHOOL,60 PASIR RIS DRIVE 1,519524,GOVERNMENT SCHOOL,CO-ED SCHOOL,SINGLE SESSION,PRIMARY,False,False,False,False,1.37801687647812,103.9392021807,1
PASIR RIS CREST SECONDARY SCHOOL,11 PASIR RIS STREET 41,518934,GOVERNMENT SCHOOL,CO-ED SCHOOL,SINGLE SESSION,SECONDARY,False,False,False,False,1.37284060102246,103.959728202919,6
PASIR RIS PRIMARY SCHOOL,5 PASIR RIS STREET 21,518968,GOVERNMENT SCHOOL,CO-ED SCHOOL,SINGLE SESSION,PRIMARY,False,False,False,False,1.37245132722087,103.962922699031,1
PASIR RIS SECONDARY SCHOOL,390 TAMPINES STREET 21,529400,GOVERNMENT SCHOOL,CO-ED SCHOOL,SINGLE SESSION,SECONDARY,False,False,False,False,1.35422732653396,103.948962626204,6
PAYA LEBAR METHODIST GIRLS' SCHOOL (PRIMARY),298 LORONG AH SOO,536741,GOVERNMENT-AIDED SCH,GIRLS' SCHOOL,SINGLE SESSION,PRIMARY,False,False,False,False,1.3502545600894,103.884846876112,2
PAYA LEBAR METHODIST GIRLS' SCHOOL (SECONDARY),296 LOR AH SOO,536742,GOVERNMENT-AIDED SCH,GIRLS' SCHOOL,SINGLE SESSION,SECONDARY,False,True,False,False,1.35096755912522,103.885120050588,2
PEI CHUN PUBLIC SCHOOL,16 LORONG 7 TOA PAYOH,319320,GOVERNMENT-AIDED SCH,CO-ED SCHOOL,SINGLE SESSION,PRIMARY,True,False,False,False,1.33677864390672,103.855341310212,2
PEI HWA PRESBYTERIAN PRIMARY SCHOOL,7 PEI WAH AVENUE,597610,GOVERNMENT-AIDED SCH,CO-ED SCHOOL,DOUBLE SESSION,PRIMARY,True,False,False,False,1.33807302121151,103.776250903095,4
PEI HWA SECONDARY SCHOOL,21 FERNVALE LINK,797702,GOVERNMENT SCHOOL,CO-ED SCHOOL,SINGLE SESSION,SECONDARY,False,False,False,False,1.39037504993234,103.878461745339,3
PEI TONG PRIMARY SCHOOL,15 CLEMENTI AVENUE 5,129857,GOVERNMENT SCHOOL,CO-ED SCHOOL,SINGLE SESSION,PRIMARY,False,False,False,False,1.31666529308968,103.767438999533,4
PEICAI SECONDARY SCHOOL,10 SERANGOON AVENUE 4,556094,GOVERNMENT SCHOOL,CO-ED SCHOOL,SINGLE SESSION,SECONDARY,False,False,False,False,1.35951583222214,103.870010749055,3
PEIRCE SECONDARY SCHOOL,10 SIN MING WALK,575566,GOVERNMENT SCHOOL,CO-ED SCHOOL,SINGLE SESSION,SECONDARY,False,False,False,False,1.36665944653812,103.83021606804,3
PEIYING PRIMARY SCHOOL,651 YISHUN RING ROAD,768687,GOVERNMENT SCHOOL,CO-ED SCHOOL,SINGLE SESSION,PRIMARY,False,False,False,False,1.41741627551251,103.830143209875,7
PIONEER PRIMARY SCHOOL,31 JURONG WEST STREET 91,649037,GOVERNMENT SCHOOL,CO-ED SCHOOL,SINGLE SESSION,PRIMARY,False,False,False,False,1.3388763709006,103.687889547387,0
POI CHING SCHOOL,21 TAMPINES STREET 71,529067,GOVERNMENT-AIDED SCH,CO-ED SCHOOL,SINGLE SESSION,PRIMARY,True,False,False,False,1.35765121877679,103.935246486174,2
PRESBYTERIAN HIGH SCHOOL,5209 ANG MO KIO AVENUE 6,569845,GOVERNMENT-AIDED SCH,CO-ED SCHOOL,SINGLE SESSION,SECONDARY,False,False,False,False,1.38175437421949,103.842382968794,3
PRINCESS ELIZABETH PRIMARY SCHOOL,30 BUKIT BATOK WEST AVENUE 3,659163,GOVERNMENT SCHOOL,CO-ED SCHOOL,SINGLE SESSION,PRIMARY,False,False,False,False,1.34919098857585,103.740719208011,0
PUNGGOL COVE PRIMARY SCHOOL,52 Sumang Walk,828674,GOVERNMENT SCHOOL,CO-ED SCHOOL,SINGLE SESSION,PRIMARY,False,False,False,False,1.41158455562454,103.89890448429,1
PUNGGOL GREEN PRIMARY SCHOOL,98 Punggol Walk,828772,GOVERNMENT SCHOOL,CO-ED SCHOOL,SINGLE SESSION,PRIMARY,False,False,False,False,1.40172590450528,103.898794262307,1
PUNGGOL PRIMARY SCHOOL,61 HOUGANG AVENUE 8,538787,GOVERNMENT SCHOOL,CO-ED SCHOOL,SINGLE SESSION,PRIMARY,False,False,False,False,1.37820062547641,103.894667159512,1
PUNGGOL SECONDARY SCHOOL,51 EDGEFIELD PLAINS,828870,GOVERNMENT SCHOOL,CO-ED SCHOOL,SINGLE SESSION,SECONDARY,False,False,False,False,1.40205738421399,103.909213706482,3
PUNGGOL VIEW PRIMARY SCHOOL,9 Punggol Place,828845,GOVERNMENT SCHOOL,CO-ED SCHOOL,SINGLE SESSION,PRIMARY,False,False,False,False,1.40505250226058,103.905299026568,1
QIFA PRIMARY SCHOOL,50 WEST COAST AVENUE,128104,GOVERNMENT SCHOOL,CO-ED SCHOOL,SINGLE SESSION,PRIMARY,False,False,False,False,1.3132658326807,103.756629101811,4
